x-axis, y-axis
0.000000000000000000e+00,1.420059214065514663e-01
2.002002002002002123e-01,1.420059214065514663e-01
4.004004004004004247e-01,1.420059214065514663e-01
6.006006006006006093e-01,1.407252764869618145e-01
8.008008008008008494e-01,1.387506147592665884e-01
1.001001001001001089e+00,1.367759530315713901e-01
1.201201201201201219e+00,1.348012913038761640e-01
1.401401401401401570e+00,1.328266295761809379e-01
1.601601601601601699e+00,1.282698025065333591e-01
1.801801801801801828e+00,1.235644725849091713e-01
2.002002002002002179e+00,1.188591426632849835e-01
2.202202202202202308e+00,1.141538127416608095e-01
2.402402402402402437e+00,1.085809961978189270e-01
2.602602602602602566e+00,1.003012678042493749e-01
2.802802802802803139e+00,9.202153941067980902e-02
3.003003003003003268e+00,8.374181101711025699e-02
3.203203203203203397e+00,7.546208262354071883e-02
3.403403403403403527e+00,6.846472754984030129e-02
3.603603603603603656e+00,6.256076673785983255e-02
3.803803803803804229e+00,5.665680592587934300e-02
4.004004004004004358e+00,5.075284511389888120e-02
4.204204204204204487e+00,4.484888430191841246e-02
4.404404404404404616e+00,5.936765254348386894e-02
4.604604604604604745e+00,7.786798092530999860e-02
4.804804804804804874e+00,9.636830930713613519e-02
5.005005005005005003e+00,1.148686376889622718e-01
5.205205205205205132e+00,1.354514997763461293e-01
5.405405405405406150e+00,1.695015073892966184e-01
5.605605605605606279e+00,2.035515150022469411e-01
5.805805805805806408e+00,2.376015226151972637e-01
6.006006006006006537e+00,2.716515302281475863e-01
6.206206206206206666e+00,3.039449279999585363e-01
6.406406406406406795e+00,3.339193270623302401e-01
6.606606606606606924e+00,3.638937261247019439e-01
6.806806806806807053e+00,3.938681251870735922e-01
7.007007007007007182e+00,4.238425242494452960e-01
7.207207207207207311e+00,4.535303942165335722e-01
7.407407407407407440e+00,4.831112543915349056e-01
7.607607607607608458e+00,5.126921145665362944e-01
7.807807807807808587e+00,5.422729747415375723e-01
8.008008008008008716e+00,5.713000560614092116e-01
8.208208208208208845e+00,5.788715755900264437e-01
8.408408408408408974e+00,5.864430951186437868e-01
8.608608608608609103e+00,5.940146146472611299e-01
8.808808808808809232e+00,6.015861341758784731e-01
9.009009009009009361e+00,5.917055851601706884e-01
9.209209209209209490e+00,5.451183087622254453e-01
9.409409409409409619e+00,4.985310323642803132e-01
9.609609609609609748e+00,4.519437559663351256e-01
9.809809809809809877e+00,4.053564795683899380e-01
1.001001001001001001e+01,3.795592462673570977e-01
1.021021021021021014e+01,3.665412977526542049e-01
1.041041041041041026e+01,3.535233492379513676e-01
1.061061061061061039e+01,3.405054007232484747e-01
1.081081081081081230e+01,3.274874522085454709e-01
1.101101101101101243e+01,3.822904015137694733e-01
1.121121121121121256e+01,4.432808682702755743e-01
1.141141141141141269e+01,5.042713350267816752e-01
1.161161161161161282e+01,5.652618017832877761e-01
1.181181181181181294e+01,6.150562322841721663e-01
1.201201201201201307e+01,6.235994144339412903e-01
1.221221221221221320e+01,6.321425965837104144e-01
1.241241241241241333e+01,6.406857787334796495e-01
1.261261261261261346e+01,6.492289608832487735e-01
1.281281281281281359e+01,6.521326695682041485e-01
1.301301301301301372e+01,6.496299718799094514e-01
1.321321321321321385e+01,6.471272741916148652e-01
1.341341341341341398e+01,6.446245765033201680e-01
1.361361361361361411e+01,6.421218788150255818e-01
1.381381381381381424e+01,6.536953581951487902e-01
1.401401401401401436e+01,6.686217018056375139e-01
1.421421421421421449e+01,6.835480454161263486e-01
1.441441441441441462e+01,6.984743890266150723e-01
1.461461461461461475e+01,7.087450584163400569e-01
1.481481481481481488e+01,6.792069374183451469e-01
1.501501501501501679e+01,6.496688164203499039e-01
1.521521521521521692e+01,6.201306954223549939e-01
1.541541541541541704e+01,5.905925744243600839e-01
1.561561561561561717e+01,5.482580043349577492e-01
1.581581581581581730e+01,4.868707503733096242e-01
1.601601601601601743e+01,4.254834964116614993e-01
1.621621621621621756e+01,3.640962424500133743e-01
1.641641641641641769e+01,3.027089884883651938e-01
1.661661661661661782e+01,2.505242508947108648e-01
1.681681681681681795e+01,2.023048738881536579e-01
1.701701701701701808e+01,1.540854968815964787e-01
1.721721721721721821e+01,1.058661198750392718e-01
1.741741741741741833e+01,5.764674286848209261e-02
1.761761761761761846e+01,5.856586596148143087e-02
1.781781781781781859e+01,5.968536268073506429e-02
1.801801801801801872e+01,6.080485939998869077e-02
1.821821821821821885e+01,6.192435611924231725e-02
1.841841841841841898e+01,6.974356709879146743e-02
1.861861861861861911e+01,9.372768715552488861e-02
1.881881881881881924e+01,1.177118072122583237e-01
1.901901901901901937e+01,1.416959272689917171e-01
1.921921921921921950e+01,1.656800473257251660e-01
1.941941941941941963e+01,1.801180211152353383e-01
1.961961961961961975e+01,1.879248200006309877e-01
1.981981981981981988e+01,1.957316188860266370e-01
2.002002002002002001e+01,2.035384177714222587e-01
2.022022022022022014e+01,2.113452166568178803e-01
2.042042042042042027e+01,2.068330054324213074e-01
2.062062062062062040e+01,2.007541000822333221e-01
2.082082082082082053e+01,1.946751947320453369e-01
2.102102102102102066e+01,1.885962893818573516e-01
2.122122122122122079e+01,1.814633471103646034e-01
2.142142142142142447e+01,1.696637506272269391e-01
2.162162162162162460e+01,1.578641541440894691e-01
2.182182182182182473e+01,1.460645576609520269e-01
2.202202202202202486e+01,1.342649611778145569e-01
